Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 28098,3629.0,,,1307.0,0.0,45.0,22371.0,28098
ZCTA5 28119,2453.0,,,753.0,0.0,0.0,21393.0,28119
ZCTA5 28144,25158.0,,,8066.0,42.0,256.0,24181.0,28144
ZCTA5 28150,27581.0,,,9186.0,2.0,208.0,22804.0,28150
ZCTA5 28168,10056.0,,,3553.0,0.0,150.0,23320.0,28168
ZCTA5 28173,56910.0,,,20940.0,61.0,3263.0,42500.0,28173
ZCTA5 28205,48539.0,,,20124.0,1675.0,1351.0,28165.0,28205
ZCTA5 28214,41356.0,,,16931.0,200.0,987.0,31339.0,28214
ZCTA5 28307,17830.0,,,6123.0,10.0,356.0,27211.0,28307
ZCTA5 28315,13700.0,,,4865.0,0.0,230.0,27028.0,28315
ZCTA5 28318,4371.0,,,1881.0,14.0,66.0,24398.0,28318
ZCTA5 28320,9919.0,,,3222.0,0.0,49.0,23122.0,28320
ZCTA5 28333,11075.0,,,3131.0,0.0,80.0,18873.0,28333
ZCTA5 28730,9248.0,,,3698.0,0.0,549.0,32371.0,28730
ZCTA5 28544,6692.0,,,2593.0,0.0,57.0,26068.0,28544
ZCTA5 28470,12089.0,,,3959.0,0.0,120.0,22090.0,28470
ZCTA5 28524,304.0,,,99.0,0.0,0.0,23487.0,28524
ZCTA5 28530,6457.0,,,2050.0,10.0,38.0,21773.0,28530
ZCTA5 28556,1019.0,,,283.0,0.0,20.0,32426.0,28556
ZCTA5 28573,2053.0,,,574.0,0.0,78.0,18750.0,28573
ZCTA5 28621,10499.0,,,3988.0,31.0,211.0,23122.0,28621
ZCTA5 28631,818.0,,,236.0,0.0,0.0,23621.0,28631
ZCTA5 28644,1117.0,,,280.0,0.0,74.0,16548.0,28644
ZCTA5 28675,7033.0,,,2315.0,0.0,127.0,19114.0,28675
ZCTA5 28684,2370.0,,,849.0,0.0,141.0,24423.0,28684
ZCTA5 28405,32330.0,,,12938.0,22.0,1394.0,28902.0,28405
ZCTA5 28442,1584.0,,,548.0,0.0,0.0,19819.0,28442
ZCTA5 28444,1962.0,,,708.0,0.0,3.0,25603.0,28444
ZCTA5 28466,9294.0,,,2720.0,0.0,160.0,19874.0,28466
ZCTA5 28718,363.0,,,79.0,0.0,0.0,25227.0,28718
ZCTA5 28722,6477.0,,,2156.0,16.0,149.0,26929.0,28722
ZCTA5 28077,464.0,,,136.0,0.0,0.0,19667.0,28077
ZCTA5 28097,6074.0,,,2449.0,0.0,179.0,31997.0,28097
ZCTA5 28103,11397.0,,,4623.0,0.0,183.0,26381.0,28103
ZCTA5 28105,45786.0,,,18583.0,363.0,1809.0,37120.0,28105
ZCTA5 28110,53520.0,,,21203.0,73.0,836.0,29062.0,28110
ZCTA5 28124,6192.0,,,2525.0,0.0,145.0,29296.0,28124
ZCTA5 28127,7860.0,,,2883.0,0.0,65.0,27124.0,28127
ZCTA5 28137,3248.0,,,1175.0,0.0,86.0,22468.0,28137
ZCTA5 28139,20900.0,,,7127.0,0.0,306.0,22918.0,28139
ZCTA5 28212,45694.0,,,15186.0,1149.0,810.0,24051.0,28212
ZCTA5 28217,29410.0,,,10197.0,837.0,324.0,24982.0,28217
ZCTA5 28227,55769.0,,,22517.0,422.0,1680.0,30281.0,28227
ZCTA5 29440,27897.0,,,8889.0,101.0,196.0,20237.0,29440
ZCTA5 29450,3548.0,,,1546.0,0.0,27.0,20102.0,29450
ZCTA5 29452,484.0,,,119.0,0.0,0.0,25926.0,29452
ZCTA5 29456,30609.0,,,12777.0,17.0,445.0,31721.0,29456
ZCTA5 29477,6966.0,,,2006.0,0.0,61.0,22491.0,29477
ZCTA5 29525,2242.0,,,556.0,5.0,25.0,18370.0,29525
ZCTA5 29340,21046.0,,,6611.0,24.0,129.0,20950.0,29340
ZCTA5 29353,4199.0,,,1764.0,0.0,22.0,23741.0,29353
ZCTA5 29364,578.0,,,126.0,0.0,16.0,15500.0,29364
ZCTA5 29369,13567.0,,,5981.0,0.0,242.0,36399.0,29369
